feature,mean_absolute_shap
pressure,60.42535525205169
pm25_median,39.742809244430845
pm25_mean,36.68032064307309
pm25_lag_24h,21.48139831850023
pm25_lag_1h,13.167009912599337
month_cos,11.564232558585275
hour_sin,6.654759428137785
month,6.5302758494148305
pm25_lag_3h,5.89680872295827
temperature,5.4881246001008295
sensor_count,4.938040741954771
hour_cos,4.814915478733926
pm25_lag_12h,4.197940089111846
pm25_rolling_mean_24h,4.189804441845403
pm25_max,2.7972551378660264
month_sin,2.7065363827162257
hour_of_day,2.659554811118297
pm25_lag_6h,2.4947181783523686
pm25_change_1h,1.8983578889909292
day_of_year,1.6498185049649106
pm25_rolling_mean_6h,1.3765465598117441
pm25_change_24h,1.2463605152873187
clouds,0.8818963733540796
is_weekend,0.8076516568177808
wind_speed,0.7895884369878791
day_of_week,0.6871652405638352
pm25_rolling_std_24h,0.5760909598855233
pm25_rolling_mean_3h,0.4735623879884912
humidity,0.41145613251796326
