city,horizon,fold,model,train_samples,validation_samples,train_start,train_end,validation_start,validation_end,MAE,RMSE,R2
Lahore,24h,1,persistence,11421,1631,2023-11-28 16:00:00+00:00,2025-06-09 03:00:00+00:00,2025-06-09 04:00:00+00:00,2025-08-16 03:00:00+00:00,18.30962510325836,25.339511540110745,-0.4015952093625115
Lahore,24h,1,ridge,11421,1631,2023-11-28 16:00:00+00:00,2025-06-09 03:00:00+00:00,2025-06-09 04:00:00+00:00,2025-08-16 03:00:00+00:00,18.855395647589894,24.763979750527966,-0.3383963172934912
Lahore,24h,1,random_forest,11421,1631,2023-11-28 16:00:00+00:00,2025-06-09 03:00:00+00:00,2025-06-09 04:00:00+00:00,2025-08-16 03:00:00+00:00,15.663175213113586,21.77567597894841,-0.034873208478390705
Lahore,24h,2,persistence,13052,1631,2023-11-28 16:00:00+00:00,2025-08-16 03:00:00+00:00,2025-08-16 04:00:00+00:00,2025-10-23 14:00:00+00:00,20.418367959603795,29.184774873838116,0.7520645491387242
Lahore,24h,2,ridge,13052,1631,2023-11-28 16:00:00+00:00,2025-08-16 03:00:00+00:00,2025-08-16 04:00:00+00:00,2025-10-23 14:00:00+00:00,27.298530984453134,33.999436514039886,0.6619944368034436
Lahore,24h,2,random_forest,13052,1631,2023-11-28 16:00:00+00:00,2025-08-16 03:00:00+00:00,2025-08-16 04:00:00+00:00,2025-10-23 14:00:00+00:00,22.589032450872036,32.30907452182214,0.6947684334202322
Lahore,24h,3,persistence,14683,1631,2023-11-28 16:00:00+00:00,2025-10-23 14:00:00+00:00,2025-10-23 15:00:00+00:00,2025-12-30 20:00:00+00:00,39.40117589452188,55.219207320882376,0.4753181321489037
Lahore,24h,3,ridge,14683,1631,2023-11-28 16:00:00+00:00,2025-10-23 14:00:00+00:00,2025-10-23 15:00:00+00:00,2025-12-30 20:00:00+00:00,45.268857204736406,59.67189592511925,0.38913007659192744
Lahore,24h,3,random_forest,14683,1631,2023-11-28 16:00:00+00:00,2025-10-23 14:00:00+00:00,2025-10-23 15:00:00+00:00,2025-12-30 20:00:00+00:00,48.504248154165744,61.8895906603481,0.34288059837306195
Islamabad,24h,1,persistence,3591,513,2025-05-06 06:00:00+00:00,2025-10-26 21:00:00+00:00,2025-10-26 22:00:00+00:00,2025-11-18 03:00:00+00:00,17.047808213464545,24.564767010650588,0.4374318413292744
Islamabad,24h,1,ridge,3591,513,2025-05-06 06:00:00+00:00,2025-10-26 21:00:00+00:00,2025-10-26 22:00:00+00:00,2025-11-18 03:00:00+00:00,21.633035570088804,26.976531815146213,0.3140218353369023
