horizon,model,evaluation_set,evaluation_rows,mae,rmse,r2
day_1,persistence,test,75,21.750103104992593,37.00703334752547,0.4725794471707876
day_1,hist_gradient_boosting,test,75,25.314122674642224,34.53891558979239,0.5405842258675839
day_1,extra_trees,test,75,27.728987323143,39.41655173181215,0.4016631325965381
day_1,random_forest,test,75,30.09803201076639,40.43716092233409,0.37027661776474474
day_1,ridge,test,75,35.742382791464046,45.82708376718854,0.19121525755526547
day_1,seasonal_7d,test,70,49.85680024800961,83.85301712285549,-1.56196194431719
day_1,random_forest,validation,56,32.8708197811963,43.2184985762876,0.30774959173877336
day_1,extra_trees,validation,56,33.73437606388416,47.20478957391444,0.17415983332242235
day_1,hist_gradient_boosting,validation,56,35.12201428758691,44.61789655077222,0.2621942179295643
day_1,ridge,validation,56,38.372181024753445,47.07772400381712,0.17859983272440583
day_2,persistence,test,73,32.49515055745617,52.90290549163305,-0.4711500819982002
day_2,extra_trees,test,73,44.445006265987075,60.34151600782066,-0.9139490176323841
day_2,ridge,test,73,47.62009810970748,64.47119682236044,-1.1848890883514724
day_2,seasonal_7d,test,69,55.342664929449796,91.62278912223225,-3.365518528080429
day_2,random_forest,test,73,56.30525492970529,71.52206748273282,-1.688921050935757
day_2,hist_gradient_boosting,test,73,58.71316798493745,74.7238389390569,-1.9350552597867656
day_2,extra_trees,validation,56,38.095218364142,51.994355558650234,0.0838440038206485
day_2,random_forest,validation,56,38.28386971328265,51.86858435893043,0.08827089497550256
day_2,hist_gradient_boosting,validation,56,40.407232982405844,56.38674881984005,-0.0774847642718568
day_2,ridge,validation,56,57.13965658065765,67.18144089779011,-0.5295217513971504
day_3,persistence,test,72,38.187980825018755,57.322345331394686,-0.3731064763334282
day_3,extra_trees,test,72,42.08428048892237,59.09336926014515,-0.459263829908912
day_3,hist_gradient_boosting,test,72,42.82763745722352,59.424501895061255,-0.4756637654142535
day_3,ridge,test,72,49.30720840276839,69.81183832489218,-1.0366409030494457
day_3,random_forest,test,72,50.489215155159606,68.10002765201479,-0.9379871350026743
day_3,seasonal_7d,test,67,54.745331082549114,91.33267873395745,-2.343203330466751
day_3,extra_trees,validation,55,39.7926732386045,55.94578860907654,0.02370920168945445
day_3,random_forest,validation,55,40.99728915876328,58.31921452288345,-0.06088358106316072
day_3,hist_gradient_boosting,validation,55,46.16014173773116,62.70197460964058,-0.22632852894533517
day_3,ridge,validation,55,59.96826806238871,71.08424681802994,-0.5761267078112011
