horizon,fold,model,evaluation_rows,mae,rmse
day_1,1,persistence,20,38.164847562586225,44.90075061853514
day_1,1,ridge_residual,20,34.400995724509784,43.54695690104491
day_1,1,random_forest_residual,20,34.110283668195784,39.23655205112018
day_1,1,extra_trees_residual,20,35.53586877512472,40.79922062819256
day_1,1,hist_gradient_residual,20,33.83034908252338,43.579598770962974
day_1,2,persistence,20,18.962261338347624,23.339329696951214
day_1,2,ridge_residual,20,30.43204278766915,36.29808248101306
day_1,2,random_forest_residual,20,20.034616344899046,24.869334699321016
day_1,2,extra_trees_residual,20,18.70129900804967,24.083358315999202
day_1,2,hist_gradient_residual,20,30.932355954690514,33.945215926184446
day_1,3,persistence,20,32.30396437940324,39.15380195005037
day_1,3,ridge_residual,20,33.29201621018424,39.42848629272057
day_1,3,random_forest_residual,20,29.77094830205548,36.29565735074876
day_1,3,extra_trees_residual,20,30.411605103980644,37.1882648329715
day_1,3,hist_gradient_residual,20,28.34086982079391,36.280855649494185
day_1,4,persistence,20,31.37654932492283,42.3047323213673
day_1,4,ridge_residual,20,29.435029465495774,37.80032988683344
day_1,4,random_forest_residual,20,31.86697645032761,43.174313920687915
day_1,4,extra_trees_residual,20,31.63503179694744,42.2956299316027
day_1,4,hist_gradient_residual,20,32.05687282600964,41.268448369828015
day_1,5,persistence,20,31.200311792337754,52.12336237000874
day_1,5,ridge_residual,20,45.74782304170708,58.925659708530084
day_1,5,random_forest_residual,20,31.35105598112478,48.08512857603293
day_1,5,extra_trees_residual,20,31.354007864641865,49.90669304687437
day_1,5,hist_gradient_residual,20,34.26398450662034,47.93041701475163
day_1,6,persistence,20,32.66576478538364,53.99766954701801
day_1,6,ridge_residual,20,34.470003909766525,47.14319119462946
day_1,6,random_forest_residual,20,30.4735430133036,48.14647764951499
day_1,6,extra_trees_residual,20,30.816345800545584,51.95645989991513
day_1,6,hist_gradient_residual,20,30.138251548138783,42.97752838098191
day_1,7,persistence,20,11.375942988256847,14.475401482656011
day_1,7,ridge_residual,20,25.896647983981314,28.846018122635414
day_1,7,random_forest_residual,20,12.199256460468527,14.37728134314184
day_1,7,extra_trees_residual,20,11.550057703960693,13.948618075384301
day_1,7,hist_gradient_residual,20,13.574908784092111,16.07534283107473
day_1,8,persistence,20,24.026019794279296,31.650527403452188
day_1,8,ridge_residual,20,26.50540085004557,35.41108394519471
day_1,8,random_forest_residual,20,21.04950366477662,27.901801679835504
day_1,8,extra_trees_residual,20,21.121505962413938,28.13305059025736
day_1,8,hist_gradient_residual,20,21.925397612794047,28.803363980345857
day_2,1,persistence,20,52.14059110317262,62.828662923113036
day_2,1,ridge_residual,20,44.95762685772939,56.92474175016136
day_2,1,random_forest_residual,20,40.61021875043151,51.08090413495905
day_2,1,extra_trees_residual,20,44.82745974146095,55.88688138503836
day_2,1,hist_gradient_residual,20,40.05311995456324,52.79784042813011
day_2,2,persistence,20,31.04713005057443,41.095323002521226
day_2,2,ridge_residual,20,34.75682417697299,41.10415206730633
day_2,2,random_forest_residual,20,28.05083348284495,38.182191386267256
day_2,2,extra_trees_residual,20,26.44489633493775,35.4885692200545
day_2,2,hist_gradient_residual,20,38.258235178795864,47.42853347846386
day_2,3,persistence,20,51.08230680097497,59.22200465289055
day_2,3,ridge_residual,20,44.276189912355775,52.687002947572935
