horizon,fold,model,evaluation_rows,mae,rmse,r2
day_1,1,persistence,20,38.164847562586225,44.90075061853514,-0.328991754641869
day_1,1,ridge,20,34.40098930452912,43.546918199894314,-0.25005734154276205
day_1,1,random_forest,20,35.289919860483494,43.934147105190824,-0.2723877627685689
day_1,1,extra_trees,20,33.1808770282549,42.14047364454574,-0.17061452666220833
day_1,1,hist_gradient_boosting,20,33.1630310582527,40.74376125301716,-0.09430232156844665
day_1,2,persistence,20,18.962261338347624,23.339329696951214,-0.209611964951133
day_1,2,ridge,20,30.43286614421654,36.298749196625735,-1.925853900472446
day_1,2,random_forest,20,24.91575414130119,30.62459030535964,-1.0826193103034263
day_1,2,extra_trees,20,31.575085589422695,36.86924558221031,-2.0185461381034306
day_1,2,hist_gradient_boosting,20,37.330076719836136,41.554071371507575,-2.834391725364349
day_1,3,persistence,20,32.30396437940324,39.15380195005037,-0.044220280672918166
day_1,3,ridge,20,33.292110820758005,39.42880819827556,-0.05894046524441121
day_1,3,random_forest,20,33.85495102644357,40.895803606890645,-0.13920461956966523
day_1,3,extra_trees,20,35.694497545229794,42.897840929426444,-0.2534733741156141
day_1,3,hist_gradient_boosting,20,35.40902062423818,42.91832866029367,-0.25467096155029245
day_1,4,persistence,20,31.37654932492283,42.3047323213673,0.3950647787753164
day_1,4,ridge,20,29.43499749102211,37.800330488694684,0.5170277680164335
day_1,4,random_forest,20,31.45576389232631,43.25918564588661,0.3674605049996523
day_1,4,extra_trees,20,31.246018929767512,40.517918736802876,0.44508658178715343
day_1,4,hist_gradient_boosting,20,31.751930334490204,43.31637423570526,0.365786966665429
day_1,5,persistence,20,31.200311792337754,52.12336237000874,0.8430623471078951
day_1,5,ridge,20,45.747486962570335,58.92576686132623,0.7994268511312932
day_1,5,random_forest,20,52.40688769501894,67.54537213223756,0.7364557751290969
day_1,5,extra_trees,20,54.2254478401651,70.34340981682745,0.7141691247057989
day_1,5,hist_gradient_boosting,20,37.38250728894373,50.379402161373605,0.853388402646284
day_1,6,persistence,20,32.66576478538364,53.99766954701801,-0.04899265247155449
day_1,6,ridge,20,34.47032138947067,47.1434322801035,0.20041468559095565
day_1,6,random_forest,20,31.056513682531552,41.38832509299945,0.3837199401581668
day_1,6,extra_trees,20,32.680078570766625,47.374458387694055,0.19255875758573526
day_1,6,hist_gradient_boosting,20,23.888159877541867,37.96225013940038,0.4815268081706292
day_1,7,persistence,20,11.375942988256847,14.475401482656011,-0.40610768107826956
day_1,7,ridge,20,25.89631788434509,28.84579833225402,-4.583705066578635
day_1,7,random_forest,20,15.093644073101032,16.51920947526254,-0.8312003619160757
day_1,7,extra_trees,20,14.057734409723858,15.638270927413211,-0.6410991119263514
day_1,7,hist_gradient_boosting,20,19.85612793604956,22.38648023730162,-2.3630163355945397
day_1,8,persistence,20,24.026019794279296,31.650527403452188,0.2421283157159515
day_1,8,ridge,20,26.504919845619234,35.41073616376466,0.05135507036592135
day_1,8,random_forest,20,22.767037405040092,30.252934830291903,0.30758127736423413
day_1,8,extra_trees,20,23.81438617011399,31.81932192406507,0.23402319307607689
day_1,8,hist_gradient_boosting,20,26.69220619834212,35.2684571859703,0.05896299320804832
day_2,1,persistence,20,52.14059110317262,62.828662923113036,-1.6178854638248663
day_2,1,ridge,20,44.9566710959548,56.92365611750674,-1.1489216406759044
day_2,1,random_forest,20,37.701987945476354,47.14849926334727,-0.4742487021759181
day_2,1,extra_trees,20,36.437885356398894,46.04551222476056,-0.4060786821095894
day_2,1,hist_gradient_boosting,20,35.37155558642436,49.61110621719355,-0.6322731193187645
day_2,2,persistence,20,31.04713005057443,41.095323002521226,-2.7277074977937907
day_2,2,ridge,20,34.75749964997393,41.10464483982517,-2.7293988349785363
day_2,2,random_forest,20,30.889196854671923,38.0393794777115,-2.1939188558209275
day_2,2,extra_trees,20,36.742720743699564,42.93987807620699,-3.0698522639517645
day_2,2,hist_gradient_boosting,20,39.26019538590002,47.40589837816826,-3.9604581853622527
