horizon,model,evaluation_set,evaluation_rows,mae,rmse,r2
24h,persistence,test,1176,38.22803091657603,51.17053405877377,0.4323357294798602
24h,lag_24h,test,1171,48.973331056007865,64.09181526629672,0.1007147921542153
24h,extra_trees,test,1176,63.13809359819076,79.39217235746091,-0.36649180525409886
24h,random_forest,test,1176,63.71003755308531,79.99847079813614,-0.38744262088693815
24h,random_forest,validation,1199,59.51852131616544,80.7729056330306,0.3521995298544913
24h,extra_trees,validation,1199,63.89511331404088,85.96644469072729,0.26621677533153354
48h,persistence,test,1153,49.36751623435332,64.5028785343473,0.07844380643628723
48h,lag_24h,test,1147,52.49582751226833,69.31919303009853,-0.0688118031848004
48h,random_forest,test,1153,74.87359981830612,91.1064586457594,-0.8384929190357573
48h,extra_trees,test,1153,78.66306119885263,95.11960625514006,-1.0040276893207487
48h,random_forest,validation,1198,72.79139559795942,96.28902514110143,0.08529926350074946
48h,extra_trees,validation,1198,78.30170012803545,103.81137549179346,-0.06320091100271363
72h,persistence,test,1131,53.02500540869428,69.76081962799684,-0.08740935446692322
72h,lag_24h,test,1125,55.09712957011516,72.64648600588286,-0.17985858324053328
72h,random_forest,test,1131,78.5219202563245,95.43398027527175,-1.035054246981637
72h,extra_trees,test,1131,78.83338016162242,95.85369452183394,-1.0529937585573332
72h,random_forest,validation,1195,80.32620213187954,104.47136880953236,-0.06936957563497104
72h,extra_trees,validation,1195,82.44586650942512,107.69598611414405,-0.13640278247232707
