horizon,model,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
24h,random_forest,59.56933475392618,80.91652710674916,0.34989378704442875,63.907493390304424,80.00695616491384,-0.38773696611072683
24h,extra_trees,64.18478305803697,86.37044965700935,0.2593036439111974,63.722902159910156,79.8927406441461,-0.3837776112704254
24h,ridge,70.91198230752622,90.86754043833008,0.18016322988771305,78.72773942357172,94.7105244421261,-0.944679981638012
24h,hist_gradient_boosting,80.85560456780196,107.77268100381615,-0.1532599766868663,93.66789829362656,110.04428371556226,-1.6253465347137332
48h,random_forest,72.94935538542792,96.70660193241221,0.07734849202835015,75.19667339979615,91.53955135182711,-0.8560137495664233
48h,extra_trees,78.06438017902592,103.7004078217587,-0.06092913933395372,78.38228628259817,94.79421357022186,-0.9903400679067669
48h,ridge,94.1574669805053,117.19961075049234,-0.35512010210597,142.60321324650224,157.15326591118458,-4.470291275342745
48h,hist_gradient_boosting,94.50380031071113,126.43400656559848,-0.5770782786994351,123.05028603533594,137.48269396048335,-3.186582917847307
72h,random_forest,80.2325827673854,104.48495954420255,-0.06964782342034836,77.86983843181869,94.83763133807759,-1.0097003709827472
72h,extra_trees,82.36855701890124,107.61878562934409,-0.1347741349333782,79.3217057278965,96.37309537147524,-1.075303086359125
72h,ridge,97.0433689892358,119.18417260557446,-0.391779469319143,155.87174599147946,169.1122005677977,-5.390278667376831
72h,hist_gradient_boosting,101.32162061928759,132.8970346252561,-0.7304690451267251,133.09764192016155,146.30802592524233,-3.7830642734120827
